year,month,value
1884,2,0.0931715686275
1884,3,-0.147828431373
1884,4,-0.216828431373
1884,5,-0.0818284313725
1884,6,-0.0998284313725
1884,7,-0.110828431373
1884,8,-0.0978284313725
1884,9,-0.0308284313725
1884,10,-0.0138284313725
1884,11,-0.250828431373
1884,12,-0.100828431373
1885,1,-0.192828431373
1885,2,-0.0968284313725
1885,3,-0.168828431373
1885,4,-0.157828431373
1885,5,-0.205828431373
1885,6,-0.173828431373
1885,7,0.00117156862745
1885,8,-0.195828431373
1885,9,-0.0188284313725
1885,10,0.0681715686275
1885,11,0.0531715686275
1885,12,0.161171568627
1886,1,-0.0838284313725
1886,2,-0.140828431373
1886,3,-0.0968284313725
1886,4,-0.0208284313725
1886,5,0.123171568627
1886,6,-0.0708284313725
1886,7,0.0301715686275
1886,8,-0.0238284313725
1886,9,-0.117828431373
1886,10,-0.0468284313725
1886,11,-0.106828431373
1886,12,-0.112828431373
1887,1,-0.253828431373
1887,2,-0.241828431373
1887,3,-0.147828431373
1887,4,-0.125828431373
1887,5,-0.0418284313725
1887,6,-0.0948284313725
1887,7,0.0441715686275
1887,8,-0.0538284313725
1887,9,-0.0308284313725
1887,10,-0.191828431373
1887,11,-0.0948284313725
1887,12,-0.0838284313725
1888,1,-0.288828431373
1888,2,-0.140828431373
1888,3,-0.228828431373
1888,4,0.0691715686275
1888,5,-0.0348284313725
1888,6,0.0221715686275
1888,7,0.00617156862745
1888,8,0.0311715686275
1888,9,0.0961715686275
1888,10,0.206171568627
1888,11,0.125171568627
1888,12,0.143171568627
1889,1,0.259171568627
1889,2,0.217171568627
1889,3,0.245171568627
1889,4,0.322171568627
1889,5,0.231171568627
1889,6,0.168171568627
1889,7,0.118171568627
1889,8,0.0911715686275
1889,9,-0.0678284313725
1889,10,0.0151715686275
1889,11,-0.0858284313725
1889,12,0.139171568627
1890,1,-0.00882843137255
1890,2,-0.0448284313725
1890,3,-0.143828431373
1890,4,-0.00582843137255
1890,5,-0.105828431373
1890,6,-0.0638284313725
1890,7,-0.0968284313725
1890,8,-0.104828431373
1890,9,-0.163828431373
1890,10,-0.191828431373
1890,11,-0.247828431373
1890,12,-0.0878284313725
1891,1,-0.192828431373
1891,2,-0.150828431373
1891,3,-0.0548284313725
1891,4,-0.0458284313725
1891,5,0.112171568627
1891,6,0.0191715686275
1891,7,-0.0148284313725
1891,8,-0.00582843137255
1891,9,0.112171568627
1891,10,-0.0118284313725
1891,11,-0.226828431373
1891,12,0.190171568627
1892,1,-0.0848284313725
1892,2,0.193171568627
1892,3,-0.146828431373
1892,4,-0.168828431373
1892,5,-0.0868284313725
1892,6,-0.151828431373
1892,7,-0.217828431373
1892,8,-0.132828431373
1892,9,-0.0118284313725
1892,10,-0.125828431373
1892,11,-0.311828431373
1892,12,-0.477828431373
1893,1,-0.644828431373
1893,2,-0.408828431373
1893,3,-0.0588284313725
1893,4,-0.249828431373
1893,5,-0.243828431373
